Source ID,Bank,Publication,Coverage area,Confidence,Treatment
SC1,Standard Chartered,Bespoke sustainable finance solutions,Standard Chartered positioning / product evidence,Medium,Used for verified positioning or product evidence
SC2,Standard Chartered,Climate change,Standard Chartered positioning / product evidence,Medium,Used for verified positioning or product evidence
SC3,Standard Chartered,New report from Standard Chartered highlights optimistic corporate outlook on India's energy transition,Standard Chartered positioning / product evidence,High,Used for verified positioning or product evidence
SC4,Standard Chartered,Sustainable trade financing,Standard Chartered positioning / product evidence,Medium,Used for verified positioning or product evidence
SC5,Standard Chartered,Apraava Energy secures USD 92 million from British International Investment,Standard Chartered positioning / product evidence,High,Used for verified positioning or product evidence
SC6,Standard Chartered,Annual Report 2025 Sustainability Review,Standard Chartered positioning / product evidence,High,Used for verified positioning or product evidence
SC7,Standard Chartered,Our global network,Standard Chartered positioning / product evidence,Medium,Used for verified positioning or product evidence
SC8,Standard Chartered,Global Banking,Standard Chartered positioning / product evidence,Medium,Used for verified positioning or product evidence
DB1,Deutsche Bank,Sustainable & Transition Finance,Deutsche Bank positioning / product evidence,Medium,Used for verified positioning or product evidence
DB2,Deutsche Bank,Deutsche Bank sets new 2030 sustainable and transition finance target and publishes its initial Transition Finance Framework,Deutsche Bank positioning / product evidence,High,Used for verified positioning or product evidence
DB3,Deutsche Bank,India's path to net zero,Deutsche Bank positioning / product evidence,Medium,Used for verified positioning or product evidence
DB4,Deutsche Bank,Project finance explained,Deutsche Bank positioning / product evidence,High,Used for verified positioning or product evidence
DB5,Deutsche Bank,REC: financing India's renewable energy strategy (2),Deutsche Bank positioning / product evidence,High,Used for verified positioning or product evidence
DB6,Deutsche Bank,REC: supporting India's renewable energy strategy (1),Deutsche Bank positioning / product evidence,High,Used for verified positioning or product evidence
UBS1,UBS,Sustainability at UBS,UBS positioning / product evidence,Medium,Used for verified positioning or product evidence
UBS2,UBS,Our offering,UBS positioning / product evidence,Medium,Used for verified positioning or product evidence
UBS3,UBS,ESG and Sustainability,UBS positioning / product evidence,Medium,Used for verified positioning or product evidence
UBS4,UBS,Sustainability Report 2025,UBS positioning / product evidence,High,Used for verified positioning or product evidence
UBS5,UBS,Sustainability Report Supplement 2025,UBS positioning / product evidence,High,Used for verified positioning or product evidence
UBS6,UBS,Green Funding Framework - Annual Investor Report 2024,UBS positioning / product evidence,High,Used for verified positioning or product evidence
UBS7,UBS,UBS India,UBS positioning / product evidence,Medium,Used for verified positioning or product evidence
